,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,mzXML,X3.15V,X3.30V,X3.45V,RSD
698,85.93899634,85.93898758,85.93900509,951.478,951.038,951.918,2,1,13989.13488,14549.17253,12106.03131,0.094469742
699,85.94210588,85.94087862,85.94333314,406.347,404.668,408.026,2,2,2431.9036,3203.8149,1690.710353,0.30981161
700,85.94343743,85.94343743,85.94343743,519.407,519.407,519.407,1,1,2782.030238,3672.274714,3953.224439,0.176249738
701,85.9436867,85.9436867,85.9436867,531.25,531.25,531.25,1,1,1321.312432,2276.675543,2654.714209,0.329720963
702,85.94225923,85.94225923,85.94225923,507.458,507.458,507.458,1,1,1407.066852,1470.194357,1417.654896,0.023614377
704,85.94223746,85.94220401,85.94231418,1773.45,1771.69,1777.36,3,3,969.7819355,852.1917857,1572.7758,0.341628664
705,85.94147358,85.94092541,85.94202174,37.254,36.454,38.054,2,2,1553.649431,2056.9968,1799.185556,0.139578441
706,85.93904823,85.93904823,85.93904823,974.516,974.516,974.516,1,1,5473.803467,5776.78845,8834.28,0.27765541
707,85.94629212,85.9462421,85.94811013,1743.21,1742.65,1743.6,5,3,2672.363077,4922.19,3501.162963,0.307640464
708,86.05465481,86.05453769,86.05473326,47.7415,47.009,48.114,4,3,3399.633684,3691.015111,4279.08005,0.118204963
709,86.0611423,86.0559179,86.06427051,48.114,47.009,49.014,13,3,10586.54893,6409.222774,6317.857724,0.313797103
713,86.09787726,86.09517714,86.1005731,290.934,290.359,291.214,8,3,6985.819304,6153.784,3805.555942,0.291989437
714,86.93759553,86.93759553,86.93759553,1743.21,1743.21,1743.21,1,1,1845.56,2210.141786,2358.671836,0.123485806
715,87.04363505,87.04278593,87.04410218,49.3265,48.279,49.914,4,3,8465.310621,7579.215172,6697.310286,0.116613407
716,87.04399476,87.04387362,87.04411589,87.3585,86.691,88.026,2,2,1674.662222,1773.573167,2481.348571,0.222600343
718,87.0671519,87.06637697,87.06805071,47.889,47.369,48.114,6,3,4079.66963,7626.347368,5168.471421,0.323004556
719,87.10136667,87.10055483,87.10199959,75.6745,75.117,76.727,4,3,2294.1856,2084.47625,3165.261294,0.227916019
720,87.92146491,87.92080865,87.92422403,1775.68,1765.28,1785.07,33,3,9059.161364,16012.50133,10673.92,0.305413953
721,87.92141602,87.9207996,87.92422406,1794.81,1786.17,1799.76,27,3,9343.783913,17019.32917,14234.44591,0.287131864
723,87.92335549,87.92071838,87.92410747,32.247,30.497,36.038,8,3,37911.75441,75071.6505,76824.51327,0.347368534
730,87.92807431,87.92663467,87.92873357,68.413,61.778,68.413,3,2,23090.23428,27901.40657,27098.6736,0.09901786
731,87.93610313,87.92826514,87.93730638,1237.01,1230.19,1245.73,3,3,2712.590571,4247.430682,2824.078,0.262397428
733,87.93719847,87.93719847,87.93719847,1108.91,1108.91,1108.91,1,1,2731.42125,5250.679091,5843.482266,0.35855757
734,87.93857968,87.93731758,87.94038206,1743.55,1742.25,1743.6,8,3,5876.543284,6831.692857,2954.662857,0.386890949
737,87.93853952,87.93853952,87.93853952,1378.69,1378.69,1378.69,1,1,8178.199071,8051.021951,7376.321339,0.054771262
740,88.02127953,88.02127953,88.02127953,48.114,48.114,48.114,1,1,3161.590353,3375.587704,3005.1318,0.058467353
741,88.03966661,88.03775788,88.04186687,49.179,48.769,51.714,7,3,2238.871385,2530.656,3923.7432,0.310732756
742,88.07497082,88.07497082,88.07497082,1712.9,1712.9,1712.9,1,1,1366.481486,1524.5745,1458.152414,0.054756057
743,88.07692768,88.07692768,88.07692768,1322.61,1322.61,1322.61,1,1,2008.624414,2217.76069,2215.249619,0.055898808
744,88.07625114,88.07625114,88.07625114,226.133,226.133,226.133,1,1,2290.695638,2276.54724,2377.060778,0.023505198
745,88.07612828,88.07612828,88.07612828,1711.18,1711.18,1711.18,1,1,1514.518477,1524.5745,1295.261379,0.089694084
747,88.93219032,88.93017302,88.9342256,1796.57,1790.69,1799.73,13,3,1736.603824,2336.391765,1806.95625,0.167282576
749,88.93066627,88.93066627,88.93066627,529.574,529.574,529.574,1,1,1859.488578,1636.512264,2560.833164,0.238912173
750,88.93227645,88.93227645,88.93227645,576.412,576.412,576.412,1,1,2004.385862,2261.22968,2059.665357,0.064117351
751,88.93213081,88.93213081,88.93213081,757.355,757.355,757.355,1,1,3143.69703,3468.582,2990.516144,0.07626467
752,88.93202945,88.93202945,88.93202945,503.075,503.075,503.075,1,1,2248.140972,2603.040033,2928.551119,0.131229775
753,88.93199915,88.93199915,88.93199915,452.597,452.597,452.597,1,1,2837.460327,2498.995745,2341.886152,0.098949979
754,88.93352563,88.93352563,88.93352563,710.973,710.973,710.973,1,1,5356.053654,4915.910367,5380.566583,0.050115959
755,88.93214241,88.92555299,88.93475936,1779.62,1771.04,1789.76,25,3,2075.815111,3447.153846,3178.069697,0.250531939
756,88.9372309,88.93612606,88.93892849,1744.305,1742.25,1744.54,6,3,13016.2824,7725.09125,13214.4948,0.275092414
757,88.98229477,88.98229477,88.98229477,1747.98,1747.98,1747.98,1,1,3614.130909,2685.813947,2771.956105,0.169614476
758,89.93986633,89.93725638,89.94393257,1786.02,1769.3,1799.73,61,3,4976.52,3365.505,4350.92,0.191959435
759,89.93960843,89.93727865,89.94395841,1761.53,1757.95,1764.21,14,3,29292.32133,40432.90179,36131.97143,0.159222822
762,89.939934,89.93922497,89.94064302,324.785,322.665,326.905,2,1,3682.176,2103.095833,2061.46998,0.35324209
763,89.94524939,89.94524939,89.94524939,1764.42,1764.42,1764.42,1,1,26012.04665,17541.67,30525.81882,0.26694749
